FID,FireName,FireYear,CalcAcres,DiscDate,parentid,acres,perim
39,131615,1991,15790.000000000000000,7/1/1991 0:00:00,1349,13591.100000000000000,61899.139999999999000
40,131655,1991,28013.900000000001000,7/3/1991 0:00:00,1479,26948.779999999999000,72421.720000000001000
41,132306,1991,1352.900000000000100,6/18/1991 0:00:00,1184,943.559999999999950,22162.509999999998000
42,132376,1991,55978.300000000003000,6/22/1991 0:00:00,1480,54512.089999999997000,92766.869999999995000
43,132376,1991,55978.300000000003000,6/22/1991 0:00:00,1480,55912.570000000000000,81835.250000000000000
44,132460,1991,75207.300000000003000,6/26/1991 0:00:00,1712,64942.949999999997000,124525.890000000000000
45,132460,1991,75207.300000000003000,6/26/1991 0:00:00,1712,69914.759999999995000,141453.679999999990000
46,132562,1991,145013.700000000010000,6/30/1991 0:00:00,844,116481.429999999990000,279901.599999999980000
47,132562,1991,145013.700000000010000,6/30/1991 0:00:00,844,143041.040000000010000,218016.329999999990000
48,132562,1991,145013.700000000010000,6/30/1991 0:00:00,844,144984.670000000010000,210481.780000000000000
49,132562,1991,145013.700000000010000,6/30/1991 0:00:00,844,145000.790000000010000,210818.480000000010000
50,132564,1991,3322.000000000000000,6/30/1991 0:00:00,548,7.220000000000000,1282.390000000000100
51,132687,1991,7718.699999999999800,7/9/1991 0:00:00,607,7649.840000000000100,31195.849999999999000
52,2016 Louise Creek,2016,3131.800000000000200,5/3/2016 0:00:00,2041,1703.440000000000100,25787.369999999999000
53,2016 Louise Creek,2016,3131.800000000000200,5/3/2016 0:00:00,2041,1921.750000000000000,23184.459999999999000
54,2016 Louise Creek,2016,3131.800000000000200,5/3/2016 0:00:00,2041,2184.020000000000000,18144.400000000001000
55,232266,1992,4401.399999999999600,6/19/1992 0:00:00,1147,4339.640000000000300,27637.820000000000000
56,332229,1993,11534.600000000000000,6/2/1993 0:00:00,1658,10498.790000000001000,30405.889999999999000
57,332248,1993,38200.900000000001000,6/4/1993 0:00:00,1178,36728.250000000000000,85442.139999999999000
58,332292,1993,61498.599999999999000,6/6/1993 0:00:00,1461,12065.219999999999000,41802.510000000002000
59,332292,1993,61498.599999999999000,6/6/1993 0:00:00,1461,60060.839999999997000,188477.079999999990000
60,332557,1993,209680.899999999990000,7/14/1993 0:00:00,526,202437.579999999990000,447959.929999999990000
61,332557,1993,209680.899999999990000,7/14/1993 0:00:00,526,205853.350000000010000,430019.560000000000000
62,332557,1993,209680.899999999990000,7/14/1993 0:00:00,526,207101.340000000000000,411858.880000000000000
63,332557,1993,209680.899999999990000,7/14/1993 0:00:00,526,207924.109999999990000,418790.210000000020000
64,332557,1993,209680.899999999990000,7/14/1993 0:00:00,526,208433.040000000010000,429954.630000000000000
65,332557,1993,209680.899999999990000,7/14/1993 0:00:00,526,209469.060000000000000,420098.590000000030000
66,332663,1993,3917.599999999999900,7/21/1993 0:00:00,635,3805.040000000000000,27398.709999999999000
67,40 Mile Yukon,1953,168727.700000000010000,7/30/1953 0:00:00,115,153785.310000000000000,214195.630000000000000
68,40 Mile Yukon,1953,168727.700000000010000,7/30/1953 0:00:00,115,167361.640000000010000,197415.340000000000000
69,414012,1984,1704.300000000000000,6/18/1984 0:00:00,853,1661.990000000000000,12682.030000000001000
70,431299,1994,3291.699999999999800,6/13/1994 0:00:00,408,3077.739999999999800,28728.000000000000000
71,432225,1994,12902.299999999999000,6/9/1994 0:00:00,1782,12885.360000000001000,48659.410000000003000
72,531018,1985,55043.599999999999000,7/25/1985 0:00:00,1005,44949.660000000003000,155855.100000000010000
73,531018,1985,55043.599999999999000,7/25/1985 0:00:00,1005,46855.730000000003000,166989.540000000010000
74,531035,1985,34191.699999999997000,7/31/1985 0:00:00,641,34167.220000000001000,62232.169999999998000
75,531047,1985,91939.300000000003000,8/6/1985 0:00:00,1251,89577.669999999998000,146139.149999999990000
76,531047,1985,91939.300000000003000,8/6/1985 0:00:00,1251,91932.369999999995000,137040.760000000010000
77,532148,1995,1654.300000000000000,5/12/1995 0:00:00,1326,916.250000000000000,16944.680000000000000
78,631005,1986,15421.799999999999000,7/3/1986 0:00:00,332,12996.610000000001000,62973.639999999999000
79,631029,1986,2188.099999999999900,7/6/1986 0:00:00,600,2069.270000000000000,23097.349999999999000
80,631305 Stevens Cr.,1996,3808.500000000000000,5/26/1996 0:00:00,1392,1554.660000000000100,14843.940000000001000
81,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,21556.119999999999000,99738.710000000006000
82,632010,1986,28045.200000000001000,6/14/1986 0:00:00,331,26959.560000000001000,84437.800000000003000
83,804028,1988,60843.099999999999000,7/12/1988 0:00:00,1339,60476.160000000003000,70749.889999999999000
84,831016,1988,6306.300000000000200,6/29/1988 0:00:00,1344,649.480000000000020,7009.720000000000300
85,831023,1988,148858.200000000010000,7/12/1988 0:00:00,1171,125375.009999999990000,172056.260000000010000
86,831023,1988,148858.200000000010000,7/12/1988 0:00:00,1171,133398.030000000000000,246990.470000000000000
87,831023,1988,148858.200000000010000,7/12/1988 0:00:00,1171,143879.390000000010000,217745.070000000010000
88,831023,1988,148858.200000000010000,7/12/1988 0:00:00,1171,146040.820000000010000,212725.970000000000000
89,831023,1988,148858.200000000010000,7/12/1988 0:00:00,1171,147323.290000000010000,221465.399999999990000
90,831024,1988,26527.000000000000000,7/13/1988 0:00:00,598,26206.450000000001000,102658.080000000000000
91,831024,1988,26527.000000000000000,7/13/1988 0:00:00,598,26503.119999999999000,107365.830000000000000
92,832002,1988,7202.899999999999600,4/16/1988 0:00:00,1149,3739.030000000000200,35318.949999999997000
93,832002,1988,7202.899999999999600,4/16/1988 0:00:00,1149,6480.600000000000400,30463.259999999998000
94,832002,1988,7202.899999999999600,4/16/1988 0:00:00,1149,6638.100000000000400,26193.040000000001000
95,832015,1988,558929.000000000000000,6/11/1988 0:00:00,84,547151.449999999950000,633575.699999999950000
96,832015,1988,558929.000000000000000,6/11/1988 0:00:00,84,556675.910000000030000,642017.920000000040000
97,832015,1988,558929.000000000000000,6/11/1988 0:00:00,84,557121.920000000040000,626730.189999999940000
98,832015,1988,558929.000000000000000,6/11/1988 0:00:00,84,558563.270000000020000,620304.329999999960000
99,832015,1988,558929.000000000000000,6/11/1988 0:00:00,84,558625.709999999960000,625260.719999999970000
100,832015,1988,558929.000000000000000,6/11/1988 0:00:00,84,558734.089999999970000,622739.270000000020000
101,832043,1988,120515.600000000010000,6/15/1988 0:00:00,1331,82034.449999999997000,125378.560000000000000
102,832043,1988,120515.600000000010000,6/15/1988 0:00:00,1331,94702.970000000001000,138452.510000000010000
103,832054,1988,3517.800000000000200,6/30/1988 0:00:00,1440,2142.639999999999900,17157.340000000000000
104,832061,1988,8044.800000000000200,7/6/1988 0:00:00,1169,3570.510000000000200,16303.040000000001000
105,832064,1988,284466.500000000000000,6/29/1988 0:00:00,1364,271933.270000000020000,354337.260000000010000
106,832064,1988,284466.500000000000000,6/29/1988 0:00:00,1364,279222.419999999980000,374462.739999999990000
107,832064,1988,284466.500000000000000,6/29/1988 0:00:00,1364,282515.950000000010000,356342.020000000020000
108,832086,1988,23725.599999999999000,7/16/1988 0:00:00,263,17469.930000000000000,68428.759999999995000
109,832086,1988,23725.599999999999000,7/16/1988 0:00:00,263,23502.880000000001000,88061.250000000000000
110,832097,1988,51390.000000000000000,7/12/1988 0:00:00,574,48699.559999999998000,126249.140000000000000
111,832097,1988,51390.000000000000000,7/12/1988 0:00:00,574,51372.419999999998000,108335.130000000000000
112,832103,1988,14361.799999999999000,8/1/1988 0:00:00,1449,13046.580000000000000,41488.580000000002000
113,Aggie Creek,2015,31698.599999999999000,6/22/2015 0:00:00,2053,30105.279999999999000,81725.949999999997000
114,Aggie Creek,2015,31698.599999999999000,6/22/2015 0:00:00,2053,30660.310000000001000,81231.169999999998000
115,Aggie Creek,2015,31698.599999999999000,6/22/2015 0:00:00,2053,31432.500000000000000,84773.529999999999000
116,ALBERT CREEK,1974,1993.099999999999900,8/2/1974 0:00:00,1635,44.369999999999997,4068.809999999999900
117,ALBERT CREEK,1974,1993.099999999999900,8/2/1974 0:00:00,1635,743.000000000000000,6590.310000000000400
118,Allman Lake,2009,17904.200000000001000,6/13/2009 0:00:00,2096,17035.320000000000000,47243.669999999998000
119,ALPS,1975,7252.899999999999600,7/10/1975 0:00:00,484,7181.630000000000100,40490.800000000003000
120,Ammerman Mountain,2004,19814.500000000000000,7/5/2004 0:00:00,1104,16143.760000000000000,74921.809999999998000
121,ANC NW 500,1971,64561.599999999999000,6/29/1971 0:00:00,516,33913.930000000000000,85113.789999999994000
122,ANVIK RIVER 1,1962,7471.600000000000400,7/20/1962 0:00:00,211,7102.600000000000400,36773.120000000003000
123,Applegate,2010,17445.599999999999000,5/26/2010 0:00:00,1771,15683.219999999999000,56926.879999999997000
124,AUGUS,1977,264488.400000000020000,7/16/1977 0:00:00,1210,204247.690000000000000,300684.320000000010000
125,AUGUS,1977,264488.400000000020000,7/16/1977 0:00:00,1210,259324.489999999990000,348566.900000000020000
126,Baathbakdizuni Creek,2015,32327.799999999999000,7/20/2015 0:00:00,2050,29935.369999999999000,389456.510000000010000
127,Baathbakdizuni Creek,2015,32327.799999999999000,7/20/2015 0:00:00,2050,32157.110000000001000,414729.120000000000000
128,Bakatigikh Mountain,2005,11736.500000000000000,6/16/2005 0:00:00,19,11644.400000000000000,46643.099999999999000
129,Bakatigikh Mountain,2005,11736.500000000000000,6/16/2005 0:00:00,19,11717.190000000001000,45945.389999999999000
130,BAKER CREEK,1969,9508.299999999999300,9/19/1969 0:00:00,1700,307.399999999999980,8540.239999999999800
131,Banddana Creek,2015,12409.500000000000000,6/19/2015 0:00:00,2074,2830.050000000000200,44227.309999999998000
132,Banddana Creek,2015,12409.500000000000000,6/19/2015 0:00:00,2074,5529.670000000000100,28745.200000000001000
133,Banddana Creek North,2015,3412.099999999999900,6/24/2015 0:00:00,1854,3321.980000000000000,14556.400000000000000
134,Basket Creek #2,2015,1035.599999999999900,6/20/2015 0:00:00,1874,27.539999999999999,2055.770000000000000
135,BATZA SLOUGH,1968,5755.899999999999600,7/26/1968 0:00:00,1818,94.219999999999999,15180.280000000001000
136,BEAR,1969,388814.400000000020000,6/21/1969 0:00:00,64,373835.200000000010000,345925.200000000010000
137,BEAR,1969,388814.400000000020000,6/21/1969 0:00:00,64,386035.030000000030000,338717.650000000020000
138,BEAR,1973,23830.299999999999000,7/3/1973 0:00:00,1351,23316.570000000000000,58576.110000000001000
139,Bear Creek,2002,59941.500000000000000,5/26/2002 0:00:00,876,42031.910000000003000,77224.529999999999000
140,Bear Creek,2002,59941.500000000000000,5/26/2002 0:00:00,876,59510.180000000000000,93812.529999999999000
141,Bear Creek,2005,5206.800000000000200,6/10/2005 0:00:00,1516,4920.920000000000100,35578.199999999997000
142,Bear Creek,2005,5206.800000000000200,6/10/2005 0:00:00,1516,5030.590000000000100,36200.540000000001000
143,Bear Creek,2009,50896.900000000001000,6/17/2009 0:00:00,754,50300.690000000002000,143443.160000000000000
144,Bear Creek,2009,50896.900000000001000,6/17/2009 0:00:00,754,50810.919999999998000,140879.109999999990000
145,Bear Creek,2013,3530.199999999999800,6/21/2013 0:00:00,1799,1377.730000000000000,14643.730000000000000
146,Bear Creek,2013,3530.199999999999800,6/21/2013 0:00:00,1799,3011.849999999999900,28635.250000000000000
147,BEAR CREEK,1977,374389.200000000010000,8/6/1977 0:00:00,1625,363453.039999999980000,223679.030000000000000
148,BEAR CREEK,1977,374389.200000000010000,8/6/1977 0:00:00,1625,368616.820000000010000,239406.530000000000000
149,BEAR CREEK,1977,374389.200000000010000,8/6/1977 0:00:00,1625,369774.880000000000000,209549.090000000000000
150,Bear Island,1986,4652.699999999999800,6/27/1986 0:00:00,175,2428.460000000000000,29025.599999999999000
151,Bear Lake,2009,3344.800000000000200,6/19/2009 0:00:00,1534,2620.559999999999900,20400.360000000001000
152,Bear Paw Mountain,2005,6777.600000000000400,7/16/2005 0:00:00,1653,2307.280000000000200,31807.090000000000000
153,Bearpaw,2009,16585.599999999999000,7/12/2009 0:00:00,313,12126.889999999999000,93393.750000000000000
154,Beaver Creek,2005,164732.399999999990000,6/20/2005 0:00:00,1238,144329.780000000000000,339994.060000000000000
155,Beaver Creek,2005,164732.399999999990000,6/20/2005 0:00:00,1238,156451.230000000010000,427160.159999999970000
156,Beaver Creek,2005,164732.399999999990000,6/20/2005 0:00:00,1238,157880.679999999990000,429445.049999999990000
157,Beaver Creek,2005,164732.399999999990000,6/20/2005 0:00:00,1238,157984.679999999990000,445847.440000000000000
158,Beaver Creek,2005,164732.399999999990000,6/20/2005 0:00:00,1238,164373.010000000010000,422629.729999999980000
159,Beaver Creek #1,2005,7099.899999999999600,6/17/2005 0:00:00,62,6919.290000000000000,62995.150000000001000
160,Beaver Log Lakes,2013,64416.099999999999000,6/22/2013 0:00:00,1817,58185.440000000002000,108463.179999999990000
161,Beaver Log Lakes,2013,64416.099999999999000,6/22/2013 0:00:00,1817,59724.779999999999000,112223.940000000000000
162,Beaver Log Lakes,2013,64416.099999999999000,6/22/2013 0:00:00,1817,62340.599999999999000,104884.240000000010000
163,Beaver Log Lakes,2013,64416.099999999999000,6/22/2013 0:00:00,1817,63321.410000000003000,112364.100000000010000
164,Bedrock Creek,2016,6548.500000000000000,7/3/2016 0:00:00,2042,4576.270000000000400,21483.480000000000000
165,Bering Creek,2000,141494.799999999990000,6/14/2000 0:00:00,686,141251.120000000000000,304898.830000000020000
166,Bering Creek,2015,112806.800000000000000,6/21/2015 0:00:00,2064,93719.440000000002000,417589.989999999990000
167,Bering Creek,2015,112806.800000000000000,6/21/2015 0:00:00,2064,107945.550000000000000,514818.640000000010000
168,Bering Creek,2015,112806.800000000000000,6/21/2015 0:00:00,2064,109307.890000000000000,532816.729999999980000
169,Bering Creek,2015,112806.800000000000000,6/21/2015 0:00:00,2064,111164.020000000000000,531742.800000000050000
170,Berry Creek,2016,1676.599999999999900,5/29/2016 0:00:00,1915,1211.450000000000000,18675.860000000001000
171,BETTLES #1,1959,3878.099999999999900,6/28/1959 0:00:00,55,3332.380000000000100,14393.530000000001000
172,Big `Ol Monster,1999,23200.400000000001000,6/19/1999 0:00:00,1444,22048.970000000001000,148378.220000000000000
173,Big `Ol Monster,1999,23200.400000000001000,6/19/1999 0:00:00,1444,23181.720000000001000,144129.910000000000000
174,Big Bend,2004,1572.000000000000000,7/17/2004 0:00:00,1030,1161.700000000000000,14961.580000000000000
175,Big Creek,1996,47830.599999999999000,6/16/1996 0:00:00,1394,24246.930000000000000,57395.669999999998000
176,Big Creek,1996,47830.599999999999000,6/16/1996 0:00:00,1394,47472.110000000001000,115851.700000000000000
177,Big Creek,1997,44241.599999999999000,7/3/1997 0:00:00,1041,21862.700000000001000,49065.529999999999000
178,Big Creek,1997,44241.599999999999000,7/3/1997 0:00:00,1041,22618.000000000000000,64294.330000000002000
179,Big Creek,2009,169638.700000000010000,7/18/2009 0:00:00,1575,166368.530000000000000,397772.630000000000000
180,Big Creek,2009,169638.700000000010000,7/18/2009 0:00:00,1575,167976.940000000000000,393815.000000000000000
181,Big Creek,2009,169638.700000000010000,7/18/2009 0:00:00,1575,168235.170000000010000,391936.489999999990000
182,Big Creek,2009,169638.700000000010000,7/18/2009 0:00:00,1575,168447.440000000000000,392013.030000000030000
183,Big Creek,2009,169638.700000000010000,7/18/2009 0:00:00,1575,168572.549999999990000,396359.950000000010000
184,Big Creek,2016,2157.300000000000200,7/15/2016 0:00:00,2068,390.699999999999990,7703.670000000000100
185,Big Creek,2016,2157.300000000000200,7/15/2016 0:00:00,2068,1913.670000000000100,14914.660000000000000
186,Big Creek 3,2015,1396.700000000000000,6/23/2015 0:00:00,1909,317.230000000000020,6895.699999999999800
187,Big Creek Two,2015,312918.200000000010000,6/22/2015 0:00:00,2035,284050.380000000000000,845682.670000000040000
188,Big Creek Two,2015,312918.200000000010000,6/22/2015 0:00:00,2035,300384.289999999980000,869520.060000000060000
189,Big Creek Two,2015,312918.200000000010000,6/22/2015 0:00:00,2035,305116.500000000000000,938192.170000000040000
190,Big Creek Two,2015,312918.200000000010000,6/22/2015 0:00:00,2035,305858.979999999980000,948344.170000000040000
191,Big Creek Two,2015,312918.200000000010000,6/22/2015 0:00:00,2035,311446.179999999990000,962992.939999999940000
192,Big Creek Two,2015,312918.200000000010000,6/22/2015 0:00:00,2035,311833.109999999990000,936363.390000000010000
193,Big Creek Two,2015,312918.200000000010000,6/22/2015 0:00:00,2035,312557.960000000020000,941886.689999999940000
194,Big Creek Two,2015,312918.200000000010000,6/22/2015 0:00:00,2035,312820.799999999990000,942325.839999999970000
195,BIG DENVER,1969,383903.400000000020000,6/16/1969 0:00:00,714,359023.229999999980000,354696.479999999980000
196,Big Lake,2009,2908.699999999999800,5/25/2009 0:00:00,1531,2901.579999999999900,30066.110000000001000
197,Big Mud,2002,39859.099999999999000,6/8/2002 0:00:00,1205,39383.849999999999000,91513.550000000003000
198,Big Mud,2002,39859.099999999999000,6/8/2002 0:00:00,1205,39541.860000000001000,89571.440000000002000
199,Big Mud,2002,39859.099999999999000,6/8/2002 0:00:00,1205,39601.580000000002000,88505.470000000001000
200,Big Mud,2003,39183.300000000003000,6/22/2003 0:00:00,1022,38038.239999999998000,76874.289999999994000
201,Big Mud,2003,39183.300000000003000,6/22/2003 0:00:00,1022,38808.089999999997000,81805.770000000004000
202,Big Mud,2003,39183.300000000003000,6/22/2003 0:00:00,1022,39067.400000000001000,82969.660000000003000
203,Big Mud,2003,39183.300000000003000,6/22/2003 0:00:00,1022,39177.089999999997000,80496.830000000002000
204,Big Mud,2016,44539.900000000001000,6/1/2016 0:00:00,1880,32907.309999999998000,65301.879999999997000
205,Big Mud,2016,44539.900000000001000,6/1/2016 0:00:00,1880,44110.699999999997000,76445.610000000001000
206,Big Mud,2016,44539.900000000001000,6/1/2016 0:00:00,1880,44166.050000000003000,76728.850000000006000
207,Big Mud,2016,44539.900000000001000,6/1/2016 0:00:00,1880,44180.779999999999000,74453.460000000006000
208,Big Mud,2016,44539.900000000001000,6/1/2016 0:00:00,1880,44526.230000000003000,73667.720000000001000
209,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,86398.710000000006000,373623.349999999980000
210,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,88967.940000000002000,339753.820000000010000
211,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,98699.830000000002000,386348.359999999990000
212,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,99254.619999999995000,390057.609999999990000
213,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,100341.420000000000000,391209.390000000010000
214,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,101885.679999999990000,374091.080000000020000
215,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,103376.660000000000000,380604.090000000030000
216,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,103546.149999999990000,379880.570000000010000
217,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,103562.740000000010000,376866.830000000020000
218,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,103625.940000000000000,376716.520000000020000
219,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,103748.980000000000000,378902.810000000000000
220,Big Mud River 1,2015,103967.500000000000000,6/21/2015 0:00:00,2000,103909.620000000000000,377757.390000000010000
221,Big Sitdown Creek 2,2005,11621.400000000000000,6/12/2005 0:00:00,1021,10150.980000000000000,80287.679999999993000
222,Big Sitdown Creek 2,2005,11621.400000000000000,6/12/2005 0:00:00,1021,10274.740000000000000,64229.790000000001000
223,Big Sitdown Creek 2,2005,11621.400000000000000,6/12/2005 0:00:00,1021,10910.850000000000000,60474.849999999999000
224,BIG W 17,1983,33533.800000000003000,5/9/1983 0:00:00,1748,29319.570000000000000,64856.349999999999000
225,Big Yetna,2004,93998.399999999994000,7/8/2004 0:00:00,225,24823.959999999999000,94976.710000000006000
226,Billy Creek,2004,463993.900000000020000,6/18/2004 0:00:00,1061,462080.590000000030000,452811.669999999980000
227,Billy Creek,2013,11993.600000000000000,6/22/2013 0:00:00,1520,4692.989999999999800,45912.739999999998000
228,Billy Creek,2013,11993.600000000000000,6/22/2013 0:00:00,1520,11043.990000000000000,68026.360000000001000
229,Birch,1999,20186.900000000001000,6/15/1999 0:00:00,1286,15999.000000000000000,70050.750000000000000
230,Birch Creek,2010,2181.599999999999900,6/21/2010 0:00:00,346,750.320000000000050,12223.780000000001000
231,Bitzshtini Mountain,2005,3094.400000000000100,6/17/2005 0:00:00,1101,2875.190000000000100,23826.020000000000000
232,Black Hills,2003,42742.599999999999000,7/16/2003 0:00:00,881,36815.320000000000000,132218.109999999990000
233,Black Hills,2003,42742.599999999999000,7/16/2003 0:00:00,881,42602.339999999997000,116269.370000000000000
234,Black Sand,2015,12880.700000000001000,6/25/2015 0:00:00,2006,7634.300000000000200,25827.799999999999000
235,Black Water,2005,1605.400000000000100,7/25/2005 0:00:00,1145,1452.329999999999900,14849.879999999999000
236,Blair,2015,37597.300000000003000,6/20/2015 0:00:00,2048,36116.080000000002000,134678.679999999990000
237,BLAIR LAKES,1980,118458.899999999990000,5/17/1980 0:00:00,386,107513.340000000000000,190465.840000000000000
238,BLAIR LAKES,1980,118458.899999999990000,5/17/1980 0:00:00,386,118414.830000000000000,179718.739999999990000
239,Blazo,2015,121339.200000000000000,6/19/2015 0:00:00,1982,119092.920000000000000,239218.019999999990000
240,Blazo,2015,121339.200000000000000,6/19/2015 0:00:00,1982,119135.360000000000000,247366.890000000010000
241,Blazo,2015,121339.200000000000000,6/19/2015 0:00:00,1982,119799.850000000010000,243980.810000000000000
242,Blazo,2015,121339.200000000000000,6/19/2015 0:00:00,1982,121118.149999999990000,233869.280000000000000
243,Blazo,2015,121339.200000000000000,6/19/2015 0:00:00,1982,121162.200000000000000,232245.690000000000000
244,BLEAK SPOT,1968,1527.400000000000100,7/9/1968 0:00:00,1709,1360.230000000000000,11769.080000000000000
245,Blind Luck,2008,14288.700000000001000,7/7/2008 0:00:00,1617,13741.690000000001000,45029.849999999999000
246,Blind Luck,2008,14288.700000000001000,7/7/2008 0:00:00,1617,14169.950000000001000,43546.400000000001000
247,Blind River,2015,60806.599999999999000,6/22/2015 0:00:00,1987,52446.419999999998000,220667.459999999990000
248,Blind River,2015,60806.599999999999000,6/22/2015 0:00:00,1987,60488.660000000003000,233605.780000000000000
249,BLUEBELL,1971,2459.800000000000200,6/28/1971 0:00:00,515,2150.960000000000000,17861.950000000001000
250,Bluff Creek,2009,41755.800000000003000,7/26/2009 0:00:00,344,18193.660000000000000,82744.759999999995000
251,Bluff Creek,2009,41755.800000000003000,7/26/2009 0:00:00,344,34852.669999999998000,116796.620000000000000
252,Bluff Creek,2009,41755.800000000003000,7/26/2009 0:00:00,344,41625.260000000002000,110085.080000000000000
253,Bolgen Creek,2004,201894.399999999990000,7/11/2004 0:00:00,1120,155855.060000000000000,366818.229999999980000
254,Bolgen Creek,2004,201894.399999999990000,7/11/2004 0:00:00,1120,185188.100000000010000,376625.330000000020000
255,Bolgen Creek,2004,201894.399999999990000,7/11/2004 0:00:00,1120,192538.480000000010000,315804.679999999990000
256,Bolgen Creek,2004,201894.399999999990000,7/11/2004 0:00:00,1120,197570.620000000000000,307876.030000000030000
257,Bolgen Creek,2004,201894.399999999990000,7/11/2004 0:00:00,1120,199901.280000000000000,333831.880000000000000
258,Bolgen Creek,2004,201894.399999999990000,7/11/2004 0:00:00,1120,201408.000000000000000,323948.359999999990000
