"year","parentid","parentac","name","n","year_int","sum_ac","doy","bor_ac","mar_ac","tun_ac","ecoreg1"
1950,690,25738.4,"Fish Lake",4,NA,25738.401,176,25737.4930905,0,0,"boreal"
1950,1372,8987.4,"Munson Creek",8,NA,8987.377,184,8986.516956,0,0,"boreal"
1950,1373,2497.3,"Angel Creek - Chena Dome",7,NA,2497.218,187,2498.6022075,0,0,"boreal"
1950,1374,2605.3,"Preacher Creek",3,NA,2605.291,191,2607.353118,0,0,"boreal"
1950,1235,3429.3,"Chitanana River",4,NA,3429.313,192,3429.9903735,0,0,"boreal"
1950,1236,2006.2,"Fort Yukon #2",2,NA,2006.16,198,2005.108812,0,0,"boreal"
1950,1288,43564.4,"Beaver Trail Fire",7,NA,43564.073,202,43564.1914215,0,0,"boreal"
1950,410,42909.1,"Circle City Fire",33,NA,42908.971,202,42915.466665,0,0,"boreal"
1950,659,48853.7,"Nation River #1",12,NA,48853.487,202,48868.077852,0,0,"boreal"
1950,1309,1222,"Boundary 40 mile #2",6,NA,1222.009,205,1222.280172,0,0,"boreal"
1950,538,13814,"Charley River N",3,NA,13814.041,205,13817.815074,0,0,"boreal"
1950,536,17954.7,"Charley River S. #2",1,NA,17954.741,205,17953.2408015,0,0,"boreal"
1950,523,23939.8,"Coal Creek #2",3,NA,23939.755,205,23932.9841175,0,0,"boreal"
1950,1199,2273.1,"Nation River #2",1,NA,2273.129,205,2272.427001,0,0,"boreal"
1950,188,3168.2,"Steven`s Village",2,NA,3168.218,225,3166.89768,0,0,"boreal"
1950,756,11791.3,"S.W.-Ft. Yukon",3,6,11791.335,227,11789.577234,0,0,"boreal"
1950,150,31615.1,"Kanuti - Bay Rivers",5,NA,31615.069,228,31615.3797255,0,0,"boreal"
1950,189,3124,"Columbia Creek",3,NA,3123.986,234,3121.973991,0,0,"boreal"
1950,180,8982.6,"Salchaket Slough",10,NA,8982.569,250,8982.7362495,0,0,"boreal"
1950,154,7416.1,"Hay Flats - Fairview Road",2,NA,7416.075,330,7409.5175565,0,0,"boreal"
1950,660,33808.2,"Olga Bay Fire",5,NA,33808.159,330,0,33437.2354695,0,"maritime"
1950,1375,2009.6,"Nulato #4",7,NA,2009.563,NA,535.081167,0,1474.2531405,"tundra"
1950,1750,153868.4,"Sheenjek",50,NA,153867.261,NA,153876.3113115,0,0,"boreal"
1951,604,96316.5,"Toklat",5,NA,96316.451,125,96314.61006,0,0,"boreal"
1951,149,1936.4,"Badger Road",3,NA,1936.429,141,1933.7201775,0,0,"boreal"
1951,1611,38787.2,"Birch Creek",14,NA,38787.02,150,38790.493479,0,0,"boreal"
1951,148,17936.5,"Muddy River Fire",2,NA,17936.459,172,17936.7836085,0,0,"boreal"
1951,176,3924.9,"Melozitna River",2,NA,3924.925,174,3922.3717965,0,0,"boreal"
1951,1554,53481.5,"22 Mile Village",7,NA,53481.453,183,53480.984571,0,0,"boreal"
1951,1555,18997.4,"Christian River Fire",3,1,18997.368,183,18993.1574835,0,0,"boreal"
1951,1361,6653.8,"Big River Fire No. 2",5,NA,6653.763,194,6652.264284,0,0,"boreal"
1951,146,30061.8,"Middle Fork Kuskokwim",3,NA,30061.821,195,30061.7317485,0,0,"boreal"
1951,402,1046.1,"Read Fire",1,NA,1046.086,197,1047.922884,0,0,"boreal"
1951,179,23178.7,"Big Delta Fire",4,NA,23178.685,223,23183.0698635,0,0,"boreal"
1951,775,2876.5,"Preacher Creek",6,NA,2876.484,226,2875.116096,0,0,"boreal"
1952,193,2690.3,"Slippery River Fire",11,NA,2690.165,173,2690.7510555,0,0,"boreal"
1953,81,15228.9,"Mile 53 Taylor Fire",4,NA,15228.922,151,15228.0185985,0,0,"boreal"
1953,391,1043.6,"Carlson Lake Fire",1,NA,1043.604,154,1041.4734435,0,0,"boreal"
1953,1547,16706.2,"Crazy Mountain",8,NA,16706.248,154,16706.9420235,0,0,"boreal"
1953,517,16145.7,"Kanuti River",4,NA,16145.73,155,16144.506333,0,0,"boreal"
1953,763,18759.6,"Melozitna-Tozitna",5,NA,18759.617,155,18760.310442,0,0,"boreal"
1953,1716,99379.2,"Nowitna #3",20,NA,99379.153,170,99372.7568295,0,0,"boreal"
1953,704,12560.5,"Tanalian Mt. Fire",1,NA,12560.534,185,12560.84136,0,0,"boreal"
1953,848,68663.6,"Sheenjek",17,7.66666666666667,68663.464,192,68650.958205,0,0,"boreal"
1953,93,14058.7,"Beaver Creek Fire",1,NA,14058.671,208,14057.3339505,0,0,"boreal"
1953,1588,11192.4,"Kotol River",3,NA,11192.426,209,11192.0032125,0,0,"boreal"
1953,80,10406.6,"South Kotol MT.",3,NA,10406.594,209,10409.396967,0,0,"boreal"
1953,1587,2208.3,"Yuko River",1,NA,2208.251,209,2205.263862,0,0,"boreal"
1953,1548,1643.6,"Sawtooth Mtn. #1",1,NA,1643.627,210,1645.4969055,0,0,"boreal"
1953,622,5908.9,"Stevens Village NE 70",5,NA,5908.902,210,5907.687498,0,0,"boreal"
1953,703,5391.7,"Tanana N8",7,NA,5391.737,210,5389.508313,0,0,"boreal"
1953,115,168727.7,"40 Mile Yukon",18,2.33333333333333,168727.704,211,168718.253058,0,0,"boreal"
1953,692,4029,"Tanana Village",3,NA,4029.011,211,4030.677918,0,0,"boreal"
1954,916,1281,"DUBLI",1,NA,1281.003,151,1281.881898,0,0,"boreal"
1954,951,16227.5,"20 MILE",6,NA,16227.513,155,16231.240188,0,0,"boreal"
1954,691,415050.7,"IMURUK BASIN",5,NA,415050.718,155,0,0,414957.446559,"tundra"
1954,1017,62010.8,"Nowitna",16,NA,62010.827,156,62009.813646,0,0,"boreal"
1954,950,573639,"TOZITNA",83,NA,573638.818,156,573643.038933,0,0,"boreal"
1954,1204,7859.7,"McCORMICK ROAD HOUSE W-14",1,NA,7859.672,157,7858.976841,0,0,"boreal"
1954,29,3663.3,"BEAVER #40",4,NA,3663.307,158,3663.0598095,0,0,"boreal"
1954,178,92626.6,"PURCELL MOUNTAIN",36,NA,92626.491,159,92627.9764335,0,0,"boreal"
1954,915,354350.8,"PAIMIUT",7,NA,354350.793,166,179052.480684,0,175307.357304,"boreal"
1954,949,93917.3,"MULCHATNA",1,NA,93917.257,171,16930.003707,0,76987.4160375,"tundra"
1954,1308,56858,"VENETIE S15",14,4,56858.01,182,56865.828861,0,0,"boreal"
1954,1391,1242.1,"CHRISTIAN VILLAGE SW15",2,4,1242.054,185,1243.8524385,0,0,"boreal"
1954,435,14160.4,"CIRCLE S.10",22,NA,14160.307,198,14161.192182,0,0,"boreal"
1954,1379,2814.6,"HUGHES NW10",4,NA,2814.567,198,2814.624792,0,0,"boreal"
1954,71,18906.4,"ALATNA",3,NA,18906.445,200,18902.4205275,0,0,"boreal"
1954,1413,18054.6,"GRANITE MOUNTAIN",7,3,18054.61,219,18053.3183265,0,0,"boreal"
1954,17,10772.2,"IN-ALASKA",3,NA,10772.218,222,10770.3432405,0,0,"boreal"
1954,147,3205.4,"NORTHWAY SOUTH",1,NA,3205.435,222,3206.7062955,0,0,"boreal"
1954,1586,4665.1,"S.E. NORTHWAY",1,NA,4665.142,222,4661.6111145,0,0,"boreal"
1954,914,4474.9,"PREACHER CREEK",3,NA,4474.926,223,4474.7997345,0,0,"boreal"
1955,1249,2746.1,"TOLSTOI",1,NA,2746.126,126,0,0,2747.461653,"tundra"
1955,1470,2400.6,"SHIRLEY LAKE",1,NA,2400.621,169,2402.305389,0,0,"boreal"
1955,1298,2798.8,"CACHE MOUNTAIN",1,NA,2798.833,206,2799.946755,0,0,"boreal"
1955,1656,1007.3,"ROGERS CREEK",6,NA,1007.306,206,1010.3382135,0,0,"boreal"
1955,10,8240.2,"LONE MTN. W-15",6,NA,8240.07,207,8239.0490415,0,0,"boreal"
1956,1690,2495.4,"DUBLI #1",1,NA,2495.362,164,2493.487134,0,0,"boreal"
1956,1689,114820.5,"DUBLI #2",57,NA,114820.141,164,114819.611616,0,0,"boreal"
1956,1355,146858.9,"HUSLIA RIVER #2",18,NA,146858.937,166,146852.870607,0,0,"boreal"
1956,61,12014.3,"WALSH",37,NA,12013.682,166,12013.306101,0,0,"boreal"
1956,1691,22320.2,"GALENA N-35",5,NA,22320.24,167,22325.0718825,0,0,"boreal"
1956,1020,149923.4,"NULATO S-10",10,6,149923.297,172,149918.801184,0,0,"boreal"
1956,1297,12655.7,"KOYUK #1",4,NA,12655.74,173,0,0,12653.5798665,"tundra"
1956,861,8180.3,"RAINBOW CAMP",2,NA,8180.346,193,0,0,8181.2264715,"tundra"
1956,392,7358.7,"BEAVER CREEK",4,NA,7358.739,195,7358.589216,0,0,"boreal"
1957,822,5403.6,"CORMICK",1,NA,5403.63,148,0,0,5405.7431115,"tundra"
1957,632,28721.4,"SHAGELUK NE",1,NA,28721.406,153,28723.8064365,0,0,"boreal"
1957,1532,1576.9,"CROOKED CREEK",1,NA,1576.855,157,1574.7754545,0,0,"boreal"
1957,1347,163827.1,"SLEETMUTE FIRES",3,NA,163827.093,158,163825.7964525,0,0,"boreal"
1957,28,94818.7,"HALFWAY ROADHOUSE",7,NA,94818.722,159,94813.891974,0,0,"boreal"
1957,1360,77700,"IDITAROD FIRES",46,NA,77699.743,159,77701.7471715,0,0,"boreal"
1957,83,14064,"SPARREVOHN #3",7,NA,14063.956,159,14055.777189,0,0,"boreal"
1957,87,6436.9,"SPARREVOHN #4",1,NA,6436.905,159,6441.434298,0,0,"boreal"
1957,513,65116,"UNGALIK (GISASA)",4,NA,65116.012,160,0,0,65116.664811,"tundra"
1957,1701,2233.5,"FOSSIL RIDGE",3,NA,2233.478,161,2233.285569,0,0,"boreal"
1957,1348,1130021.4,"KATEEL RIVER #5",12,NA,1130021.433,161,20371.3362,0,1109644.029585,"tundra"
1957,1671,2896.6,"NIKOLAI SLOUGH-BEAR CREEK",3,NA,2896.589,161,2894.686812,0,0,"boreal"
1957,27,11909.9,"SHAKTOLIK",1,NA,11909.918,161,0,0,11911.2270255,"tundra"
1957,1702,13115.5,"SUNSHINE MT.",2,NA,13115.5,161,13118.606766,0,0,"boreal"
1957,1706,1452.2,"BLAIR LAKES #2",2,NA,1452.156,162,1453.3480575,0,0,"boreal"
1957,1705,430966.5,"HOLIKACHUK",10,NA,430966.504,162,430971.184926,0,0,"boreal"
1957,1736,39461.8,"FISH CREEK #1",4,NA,39461.76,163,39455.6754285,0,0,"boreal"
1957,105,1255.5,"IDITAROD SW-8",1,NA,1255.533,163,1255.4169525,0,0,"boreal"
1957,1672,8395.3,"GRANT CREEK",3,NA,8395.262,164,8396.5043475,0,0,"boreal"
1957,711,1136.6,"BEAR CREEK",2,NA,1136.587,165,1135.7687115,0,0,"boreal"
1957,415,1194.8,"HOLOKUK #1",3,NA,1194.793,165,1194.4808595,0,0,"boreal"
1957,1203,51893.5,"SOUTH FORK NULATO RIVER",1,NA,51893.539,165,4818.1768425,0,47075.8005765,"tundra"
1957,242,43257.4,"UPPER TATALINA",24,NA,43257.31,165,43258.6213785,0,0,"boreal"
1957,103,17281.3,"VENETIE N-15",5,7,17281.273,166,17282.276595,0,0,"boreal"
1957,467,4727.1,"NATION RIVER",6,NA,4727.024,169,4728.10707,0,0,"boreal"
1957,729,5003.4,"VON FRANK",3,NA,5003.4,171,5005.4330115,0,0,"boreal"
1957,1311,155471.2,"HILL 1224",20,4,155471.189,173,155467.988748,0,0,"boreal"
1957,213,399199,"ANVIK RIVER",3,NA,399199.019,174,41.5877715,0,399140.9721135,"tundra"
1957,212,288150.8,"BONASILA",13,17,288150.826,174,145899.68778,0,142261.0913655,"boreal"
1957,191,113486.8,"TITNA",22,NA,113486.798,174,113478.572781,0,0,"boreal"
1957,1680,26792.9,"DISHKAKET NE-10",1,NA,26792.856,176,26790.3086535,0,0,"boreal"
1957,712,48201.4,"INNOKO #1",6,NA,48201.23,176,48200.2271685,0,0,"boreal"
1957,21,77494.5,"INNOKO #2",16,NA,77494.498,176,77499.3681765,0,0,"boreal"
1957,710,7870.3,"MINCHUMINA NE-15",3,NA,7870.317,176,7875.2116395,0,0,"boreal"
1957,1665,1661.9,"BOUNDARY CREEK",4,7,1661.891,177,1661.9540985,0,0,"boreal"
1957,67,18215.7,"TAKOTNA",3,NA,18215.674,178,18206.548137,0,0,"boreal"
1957,1718,9395.5,"VICTORIA CREEK",10,NA,9395.496,178,9395.9452305,0,0,"boreal"
1957,1746,2886.5,"BEAVER MT #2",1,NA,2886.462,180,2886.9030045,0,0,"boreal"
1957,911,15646,"NIKABUNA LAKES",3,NA,15646.034,182,15647.0098365,0,0,"boreal"
1957,258,705213.5,"SHAGELUK E",38,NA,705213.499,182,705219.186546,0,0,"boreal"
1957,1719,3890.6,"TOLOVANA SW-20",1,NA,3890.618,183,3888.5678325,0,0,"boreal"
1957,841,14600,"DEACON`S #3",2,NA,14599.979,184,14601.978081,0,0,"boreal"
1957,860,47105.3,"WALDEN FORK",6,NA,46443.351,184,46441.753857,0,0,"boreal"
1957,1527,85063.2,"BETTLES W-40",6,NA,85063.106,186,85073.2352685,0,0,"boreal"
1957,1659,8374.9,"TOK-KAN SW5",9,NA,8374.936,186,8373.3753195,0,0,"boreal"
1957,705,2478.3,"CREVICE CREEK",1,NA,2478.326,187,0,0,2479.0314915,"tundra"
1957,1358,16318,"ILIAMNA",1,NA,16317.95,187,7485.1316865,7476.458301,1356.3840555,"boreal"
1957,859,5971.5,"NIXON FORK",3,NA,5971.487,187,5973.7386645,0,0,"boreal"
1957,1721,152363.2,"ROLLING CREEK #1",12,NA,152363.24,187,97277.3558505,0,55084.2265215,"boreal"
1957,1720,12764.9,"WOOD RIVER BUTTES W-10",5,NA,12764.883,187,12761.885988,0,0,"boreal"
1957,375,25179.8,"SWIFT RIVER",11,NA,25179.807,191,25183.063602,0,0,"boreal"
1957,370,59343,"BEARPAW MTN NW-12",21,NA,59342.972,192,59339.30049,0,0,"boreal"
1957,605,24257.8,"LONE MOUNTAIN N-12",25,NA,24257.824,192,24260.126427,0,0,"boreal"
1957,1655,33480.2,"SAWTOOTH MOUNTAIN S-6",3,NA,33480.155,192,33479.4904245,0,0,"boreal"
1957,1708,2290.8,"BETHEL 1/2S",1,NA,2290.773,193,0,0,2290.4409555,"tundra"
1957,942,174152.6,"ROCKET 4",26,7,174152.347,193,174152.240271,0,0,"boreal"
1957,910,2705.6,"KOKTULI",1,NA,2705.572,200,2708.0978265,0,0,"boreal"
1957,171,19029.7,"UPPER MELOZITNA",16,3,19029.742,201,19030.297365,0,0,"boreal"
1957,1312,1642.8,"BIRCHES SW-10",2,NA,1642.775,209,1644.384933,0,0,"boreal"
1957,1313,15471.7,"WOLF MT. N-10",2,NA,15471.662,209,15470.206209,0,0,"boreal"
1957,520,11502.1,"WOODCHOPPER W-10",1,NA,11502.073,220,11502.24354,0,0,"boreal"
1957,996,49701.7,"CENTRAL W-10",20,4,49700.853,223,49701.167649,0,0,"boreal"
1958,1618,2830,"NENANA W-20",1,NA,2830.016,131,2830.8595905,0,0,"boreal"
1958,106,2965.5,"GOLDSTREAM #1",1,NA,2965.519,150,2966.297841,0,0,"boreal"
1958,830,58294.4,"CHENA DOME S-3",9,8,58294.431,152,58302.052542,0,0,"boreal"
1958,107,26103.1,"MINCHUMINA NW-25",5,NA,26103.138,153,26099.1065475,0,0,"boreal"
1958,109,23208.2,"FAIRBANKS CREEK NE-7",2,NA,23208.212,154,23207.5332585,0,0,"boreal"
1958,1469,2913.2,"FAIRPLAY W-5",2,NA,2913.226,154,2911.3663995,0,0,"boreal"
1958,108,2017,"BONE CREEK",1,NA,2016.961,155,2016.8957205,0,0,"boreal"
1958,580,41711,"FAR MOUNTAIN",3,NA,41710.984,155,41704.5286125,0,0,"boreal"
1958,99,25261.7,"KANDIK",17,NA,25261.224,155,25263.125622,0,0,"boreal"
1958,124,4889.6,"LIVENGOOD SW-10",8,NA,4889.551,155,4886.896743,0,0,"boreal"
1958,192,2922,"TELIDA LAKE",6,NA,2921.989,155,2922.708519,0,0,"boreal"
1958,1619,1387.2,"TELSITNA RIVER",4,NA,1387.153,160,1386.6297075,0,0,"boreal"
1958,494,8417.5,"NORTH POLE",5,7.5,8417.507,165,8415.40788,0,0,"boreal"
1958,1620,5219.1,"GLOBE CREEK NW-5",1,NA,5219.055,173,5217.1525755,0,0,"boreal"
1958,1310,22065.8,"MURPHY DOME W-5",3,NA,22065.798,184,22067.9838405,0,0,"boreal"
1958,1664,39261.3,"HEALY",15,NA,39261.258,185,39261.52503,0,0,"boreal"
1958,1621,5398.3,"COPPER CANYON",1,NA,5398.278,188,5397.514515,0,0,"boreal"
1958,470,8774.3,"NENANA W-30",3,NA,8774.283,192,8769.015135,0,0,"boreal"
1958,471,1243.1,"TOLVANA SE-5",1,NA,1243.084,192,1242.295677,0,0,"boreal"
1958,472,17646.7,"DRY CREEK",8,NA,17646.71,193,17648.1155475,0,0,"boreal"
1958,110,30723.1,"SMALL LAKE S-16",16,8,30723.055,202,30716.4611565,0,0,"boreal"
1959,1570,6292.5,"Kenai Lake",1,NA,6292.496,161,0,6292.874772,0,"maritime"
1959,811,8095.7,"COLORADO CREEK",3,NA,8095.671,168,8096.938956,0,0,"boreal"
1959,771,9199.8,"EILSON #1",10,NA,9199.676,169,9201.794832,0,0,"boreal"
1959,35,1695.1,"TANANA E-17",2,NA,1695.062,170,1693.9789065,0,0,"boreal"
1959,36,3276.6,"TELSITNA #2",3,NA,3276.638,170,3275.6485905,0,0,"boreal"
1959,491,1267,"FLAT NW-2",1,NA,1266.982,171,1269.2054115,0,0,"boreal"
1959,113,3908.3,"HUGHES N-9",1,NA,3908.297,171,3911.029677,0,0,"boreal"
1959,432,1558.4,"LAKE 606",1,NA,1558.45,171,1557.206289,0,0,"boreal"
1959,451,26001.3,"BIG CREEK",5,NA,26001.32,172,26000.8081785,0,0,"boreal"
1959,788,14728.5,"FLAT E-5 #1",2,NA,14728.451,172,14724.0726615,0,0,"boreal"
1959,112,8792,"HUGGINS ISLAND W-10",13,NA,8792.019,172,8790.1426125,0,0,"boreal"
1959,45,4156.9,"PAH RIVER",2,NA,4156.936,172,4152.994893,0,0,"boreal"
1959,791,8213,"IDITAROD #1",3,NA,8212.995,173,8213.473674,0,0,"boreal"
1959,433,18411.2,"KOBUK #3",5,NA,18411.216,173,18408.7047375,0,0,"boreal"
1959,434,17980.8,"KOBUK #4",4,NA,17980.791,173,17985.2656095,0,0,"boreal"
1959,1744,3099.3,"MT HURST N-10",1,NA,3099.324,173,3101.958486,0,0,"boreal"
1959,469,4046.5,"MT HURST W-10",2,NA,4046.529,173,4044.6887715,0,0,"boreal"
1959,122,7904.6,"STONEY RIVER",2,NA,7904.638,173,7901.676585,0,0,"boreal"
1959,123,3622.6,"TAYLOR MTN SE 10",1,NA,3622.632,173,3622.361616,0,0,"boreal"
1959,790,13641.9,"KOKRINES NW-19",10,NA,13641.906,174,13642.3458135,0,0,"boreal"
1959,1566,108595.4,"SANDS NE-15",8,5,108595.431,174,108594.344772,0,0,"boreal"
1959,792,6400.8,"IDITAROD #2",4,NA,6400.845,175,6400.51371,0,0,"boreal"
1959,699,3019.2,"NATION NE-16",1,NA,3019.164,175,3019.227732,0,0,"boreal"
1959,749,21034.2,"BLACK RIVER NO. 1",6,NA,21034.233,176,21032.737443,0,0,"boreal"
1959,750,7243.3,"CIRCLE E-15",1,NA,7243.335,176,7239.830553,0,0,"boreal"
1959,101,9582.1,"SHEEHIJEK #1",4,NA,9582.037,176,9586.537317,0,0,"boreal"
1959,1549,44596.7,"YUKON FLATS #1",22,NA,44596.598,176,44597.213874,0,0,"boreal"
1959,700,12423.2,"INIAKUK LAKE E-8",3,NA,12423.173,178,9042.7827645,0,3378.172455,"boreal"
1959,656,4318.3,"SHUNGNAK SW-5",8,NA,4318.295,178,4321.569924,0,0,"boreal"
1959,55,3878.1,"BETTLES #1",5,13,3878.141,179,3877.0033185,0,0,"boreal"
1959,11,15552.7,"BETTLES #2",6,NA,15552.723,179,15560.7207705,0,0,"boreal"
1959,56,2456.3,"BETTLES #5",4,NA,2456.321,179,1797.837138,0,659.622087,"boreal"
1959,698,2149,"KHOTO MTN",2,NA,2148.955,179,2148.5532645,0,0,"boreal"
1959,697,1867.1,"KIANA SE-10",1,NA,1867.094,179,1867.669011,0,0,"boreal"
1959,713,30549.2,"SELAWIK SE-40",3,NA,30549.171,179,27385.65873,0,3162.2273955,"boreal"
1959,586,4018.1,"KAYIUH MTN",4,NA,4017.959,180,4019.558193,0,0,"boreal"
1959,587,16399.9,"KOBUK #6",1,NA,16399.908,181,16399.815219,0,0,"boreal"
1959,488,4156,"SALMON RIVER",1,NA,4156.041,181,4153.884471,0,0,"boreal"
1959,588,9089.5,"ANGUTIKADA PEAK W-10",1,NA,9089.471,182,9086.8168755,0,0,"boreal"
1959,591,1492,"SHAGELUK",1,NA,1492.044,220,1493.601462,0,0,"boreal"
1959,810,79754,"CROOKED CREEK SE-20",4,NA,79754.024,221,79752.891645,0,0,"boreal"
1960,1307,2529.7,"CHRISTMAS MTN",1,NA,2529.671,140,0,0,2527.0687035,"tundra"
1960,1257,41541.8,"GRANITE MTN",6,NA,41541.794,160,0,0,41540.4014715,"tundra"
1960,554,6387.8,"FT YUKON",14,NA,6387.766,179,6389.1715905,0,0,"boreal"
1962,79,1040.3,"ANDREAFSKY RIVER",1,NA,1040.281,200,0,0,1037.9151315,"tundra"
1962,1306,2304,"DEVILS ELBOW W-16",1,NA,2303.98,200,0,0,2304.2294145,"tundra"
1962,738,3782,"FISH VILLAGE E-15",1,NA,3781.956,200,0,0,3782.485656,"tundra"
1962,1266,1236.8,"HOLY CROSS E-32",4,NA,1236.752,200,1237.1806035,0,0,"boreal"
1962,1267,1135,"OPHIR N-12",4,NA,1135.043,200,1136.6582895,0,0,"boreal"
1962,211,7471.6,"ANVIK RIVER 1",2,5,7471.558,201,0,0,7464.893787,"tundra"
1963,613,4359.9,"KOBUK 5",3,NA,4359.93,172,4355.1514935,0,0,"boreal"
1963,359,1695.7,"CHEENEETNUK RIVER",1,NA,1695.695,190,1695.980457,0,0,"boreal"
1963,655,3253.6,"KOLIGANEK",1,NA,3253.602,194,1337.035734,0,1915.4838285,"tundra"
1965,1265,1281,"KAIYUH",5,NA,1281.044,180,1279.657953,0,0,"boreal"
1966,562,334863.1,"CANADIAN",5,NA,334863.089,176,334860.9554115,0,0,"boreal"
1966,1264,47777.6,"SALCHA MILITARY",1,NA,47777.587,191,47776.7880405,0,0,"boreal"
1966,1380,24034.5,"CEMENT CREEK",3,NA,24034.545,204,24031.7272755,0,0,"boreal"
1966,529,193762.8,"WEST FORK",18,13,193762.775,204,193763.876859,0,0,"boreal"
1966,1805,4435.7,"BURNT MT",4,16,4435.701,217,4437.4374585,0,0,"boreal"
1966,8,57183.9,"BEAR MT",12,NA,57183.731,220,57181.4066565,0,0,"boreal"
1966,998,43843.1,"MISSILE",1,NA,43843.146,220,43837.514262,0,0,"boreal"
1966,420,6940.6,"GOLD STREAM",1,NA,6940.588,224,6944.935446,0,0,"boreal"
1966,1645,51484.3,"NOWITNA",10,NA,51484.285,224,51492.332952,0,0,"boreal"
1967,53,3320.3,"VREELAND",2,8,3320.265,149,3323.2410135,0,0,"boreal"
1967,1572,5428.4,"TAYLOR MT",1,NA,5428.406,165,5424.4242495,0,0,"boreal"
1967,849,1492,"ANACONDA CREEK",1,NA,1491.993,166,1492.9342785,0,0,"boreal"
1967,518,7045.1,"NATION RIVER",8,10,7045.088,167,7046.347338,0,0,"boreal"
